,rawcomment,sentiment_predictions,sarcasm_predictions
902,"Lol i used to hate it cuz it was cool back then, but well it is kind of cute now.",2,0
903,650 GOD 🙏🙏🙏,1,1
904,649 GOD 😊😊😊,1,1
905,648 GOD 🤍🤍🤍,1,1
906,647 GOD ❤️❤️❤️,1,1
907,646 GOD 🎉🎉🎉,1,1
908,645 GOD 😃😃😃,1,1
909,644 GOD 💕💕💕,1,1
910,😍😍😍😍😍😍😍,1,0
911,متكبر قذر,1,0
912,"Honestly, you can't forget this song.",2,0
913,2023😂❤,1,0
914,White and black unity is strength one love bongo the dog,2,1
915,"i grew up listening to him, and listening to him still has vibe , thanks #JUSTIN for making our growing up so memorable.",2,0
916,I noticed now there is Drake in the video,1,0
917,This is crige,1,0
918,"When I listen this song... I remember my childhood...🤗🤗🤗
Time is so fast.......",2,0
919,"2023 still in love this song .. 
memory never die .",2,0
920,😙😙😙😙😙,1,0
921,I love you boss,2,0
922,Anyone 2023 🙋‍♂️✨,1,0
923,https://advancetextile86.blogspot.com/2023/01/why-is-90s-fashion-coming-back.html,1,0
924,14 Million Dislike Why?????,1,1
925,😍,1,0
926,😍,1,0
927,Vvvvvvv nice 👍👍🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂 songs l love 💕💕 this song,2,0
928,643 GOD 👑👑👑,1,1
929,642 GOD 💓💓💓,1,1
930,641 GOD 🌹🌹🌹,1,1
931,640 GOD 🤩🤩🤩,1,1
932,639 GOD 🐇🐇🐇,1,1
933,638 GOD ❣️❣️❣️,1,1
934,637 GOD 😍😍😍,1,1
935,636 GOD ♥️♥️♥️,1,1
936,635 GOD 🤣🤣🤣,1,1
937,634 GOD 😜😜😜,1,1
938,633 GOD 🥀🥀🥀,1,1
939,632 GOD 🤪🤪🤪,1,1
940,631 GOD ❤️❤️❤️,1,1
941,630 GOD 😱😱😱,1,1
942,629 GOD 🥰🥰🥰,1,1
943,628 GOD 💖💖💖,1,1
944,627 GOD 🎈🎈🎈,1,1
945,626 GOD 🙏🙏🙏,1,1
946,625 GOD 😊😊😊,1,1
947,624 GOD 🤍🤍🤍,1,1
948,623 GOD 🎉🎉🎉,1,1
949,622 GOD 😃😃😃,1,1
950,621 GOD 💕💕💕,1,1
951,620 GOD 🤑🤑🤑,1,1
952,619 GOD 💛💛💛,1,1
953,618 GOD 👻👻👻,1,1
954,2010 was 13 YEARS AGO ??,1,0
955,👁️,1,0
956,I like this song 🥰🥰🥰🥰🥰,1,0
957,1:15 drake first appearance 💀💕,2,0
958,Nostalgic,1,0
959,617 GOD ♥️♥️♥️,1,1
960,616 GOD 🤣🤣🤣,1,1
961,615 GOD 😜😜😜,1,1
962,614 GOD 🥀🥀🥀,1,1
963,613 GOD 🤪🤪🤪,1,1
964,612 GOD ❤️❤️❤️,1,1
965,611 GOD 🥰🥰🥰,1,1
966,Use me as a dislike button,1,1
967,i am from india it is song is very nice,2,0
968,LOTS OF LOVE FROM INDIA,2,0
969,31- 01-23 ❣️,1,0
970,This song😩From Poland🇵🇱,1,0
971,610 GOD 💞💞💞,1,1
972,609 GOD 💚💚💚,1,1
973,608 GOD 🌷🌷🌷,1,1
974,607 GOD 💗💗💗,1,1
975,606 GOD 💘💘💘,1,1
976,❤️❤️❤️💕💕,1,0
977,AUNI LAWA,1,0
978,Keduanya genius Dalam bidang MASING masinga,1,1
979,Akhirnya mereka bersatu,1,0
980,aiyaaa akmal,1,0
981,ဒီသီချင်းကြားရင် ငယ်ဘဝကိုပြန်လွမ်းတယ်,1,0
982,Love from 2023 ❤️‍🔥,2,0
983,he is my first song,2,0
984,Am I the only one who wants JB and Cody Simpson to collab?,1,1
985,علوج,1,0
986,💚💚💚💚,1,0
987,Justin bieber is now selena gomez crying because you,0,0
988,Justin bieber i want to selena gomez,1,1
989,hay GUEY tela rifastes mi YOSTIN.,1,0
990,Nonsense,1,1
991,Cant believe this was my first eng song and i had a huge crush on young justin,2,0
992,I love this song.❤️❤️❤️,2,0
993,Why the haters dislikes this song?,1,0
994,Ou waaaaa,1,0
995,"Let's be honest, Justin Bieber owned the world for few days when this song was released",2,0
996,Anyone in 2023,1,0
997,1:14 wtf is drake doing here😆😆..I swear you have never noticed him😂🗿,0,0
998,🔥🔥,1,0
999,It's January 31 2023,1,0
1000,Legend watching in 2023👑👑😍,1,0
1001,Where is drake?,1,1
1002,A maior música do mundo,1,0
1003,Me. Forever will too.,1,0
1004,Go to join BTS,1,0
1005,This song is very nice and nice voice,2,0
1006,"Every time I think of Justin Bieber, the song attached to his name is this song ""Baby"" lol. I think this song catapulted his fame. 🤩",2,0
1007,Why does he sound more like a girl than me?,1,1
1008,Temazooo,1,0
1009,My Masterpiece “girl don’t want but boy want”,1,1
1010,I remember the days playing modern warfare 2 after school with the boys on Xbox 360. With the front door wide open on a hot summer day with the cool air nicely blowing trough the windows and front door with baby playing at full blast. The good old days. No stress no heartbreak no problems. Now the world is the enemy. I’m so pleased that Justin as finally started been much more faithful too our Heavenly Father. I really got sick of his BS and hated him at one point. But now he’s a true brother grown into a real man. And regenerated my upmost respect thank goodness he got himself onto the right path. We all need to hit rock bottom to build foundation Hallelujah Justin 👏🏻🙏🏻,2,1
1011,I love this song,2,0
1012,How many have been listening this song for 10 year . It never gets old 💖,2,0
1013,Algunos de ellos no lo  pueden,1,0
1014,F,1,0
1015,Oh😍,1,0
1016,"the hate really was unwarranted
this is good vibes all around",2,0
1017,BUENA MUSICA BABY JUSTIN BIEBER LO AMO MUCHO,1,0
1018,make many people happy❤,2,0
1019,Eu em 2023 😍,1,1
1020,Justin Bieber,1,1
1021,Cane you come to st.Louis pleasssssssss,1,1
1022,"You the best singer ever and I’m a fan of you and my name is 
Jhase",2,1
1023,"is this....
True Rizz???",2,0
1024,BEBEBEBEBEBENE UUUUUUU,1,0
1025,Cx,1,0
1026,drake is here 🤣,1,1
1027,😇🤗,1,0
1028,🔥🔥🔥🔥🔥,1,0
1029,No se como la odiaban esta rola si es un himno mundial,1,1
1030,Şuna bak sene kaç olmuş ??? Hahahahaha ergenlik yıllarımı hatırladım,1,0
1031,2023 february ?,1,0
1032,605 GOD 🐇🐇🐇,1,1
1033,604 GOD ❣️❣️❣️,1,1
1034,603 GOD 😍😍😍,1,1
1035,602 GOD ♥️♥️♥️,1,1
1036,601 GOD 🤣🤣🤣,1,1
1037,2.9 billion views is insane,0,0
1038,"O unico cara que fez todas as meninas da minha escola ficarem caidinha por ele, era bandana, capinha de celular,caderno até mochila as menina tinha kkkk o cara é brabo mesmo.",1,1
1039,"One of the songs I turn on when I want to feel safe online… it always reminds me of my childhood and carefree days. I was 8 years old when this song came out, I'll admit I'm 20 years old and I feel the same excitement every time I listen to this song. It's scary very how time passes so quickly.",2,0
1040,🤗🤗🤗👍👍🙂,1,0
1041,This song slaps till 2023,1,0
1042,February 2023 anyone???,1,0
1043,البنت موعشوقه تملك شارب و لحيه,1,0
1044,Me,1,0
1045,600 GOD 🙏🙏🙏,1,1
1046,599 GOD 😊😊😊,1,1
1047,598 GOD 🤍🤍🤍,1,1
1048,"Só os relíquias vai lembrar qnd passou na Eliana.
Only the relics will remember when they went to Eliana.",1,0
1049,597 GOD 🎉🎉🎉,1,1
1050,596 GOD 💕💕💕,1,1
1051,595 GOD 😃😃😃,1,1
1052,594 GOD 💛💛💛,1,1
1053,593 GOD 👻👻👻,1,1
1054,592 GOD 🖤🖤🖤,1,1
1055,591 GOD 💞💞💞,1,1
1056,590 GOD 💚💚💚,1,1
1057,589 GOD 🌷🌷🌷,1,1
1058,588 GOD 💗💗💗,1,1
1059,587 GOD 💘💘💘,1,1
1060,586 GOD 💝💝💝,1,1
1061,love Justin bieber,2,0
1062,Uristen girl power,1,1
1063,1:39,1,0
1064,1:37 - 1:41,1,0
1065,1:36 - 1:41,1,0
1066,585 GOD 😀😀😀,1,1
1067,584 GOD 🐇🐇🐇,1,1
1068,583 GOD ❣️❣️❣️,1,1
1069,582 GOD 😍😍😍,1,1
1070,581 GOD ♥️♥️♥️,1,1
1071,580 GOD 🤣🤣🤣,1,1
1072,579 GOD ❤️❤️❤️,1,1
1073,578 GOD 😜😜😜,1,1
1074,577 GOD 🥀🥀🥀,1,1
1075,576 GOD 🤍🤍🤍,1,1
1076,575 GOD 🤪🤪🤪,1,1
